District,Tehsil,Village/Town,Property_Type,Ownership,Size_sq_m,Market_Price,Stamp_Duty%,Registration%,Broker%,Population,Amenities,Road_Access,Nearest_Neigh_km
Sehore,Ichhawar,Bamuliya Mal,Industrial,Cooperative,2770.3,12587808,7.5,2,3,9346,11,Yes,5.5
Sehore,Ichhawar,Rasuliya Khurd,Industrial,Government,2328.2,8223029,5.0,2,3,5230,10,Yes,13.6
Sehore,Budhni,Bilkisganj,Residential,Private,13809.0,109860399,6.0,2,2,5894,4,Yes,19.2
Sehore,Nasrullaganj,Kothri,Agricultural,Institutional,8785.1,66995490,6.0,3,5,2920,5,No,2.1
Sehore,Ichhawar,Kothrikalan,Commercial,Cooperative,1847.1,15297409,6.0,2,4,9099,11,No,14.0
Sehore,Nasrullaganj,Doraha Mal,Commercial,Private,9984.9,21698888,6.0,2,0,2271,15,No,9.5
Sehore,Shyampur,Dhaturiya,Residential,Institutional,13969.7,79335737,5.0,3,0,8107,11,No,17.7
Sehore,Budhni,Bhatkhedi,Residential,Government,2093.4,7119311,6.0,2,0,11009,4,No,5.9
Sehore,Budhni,Harpura Kalan,Mixed-use,Cooperative,318.1,2585638,6.0,2,2,4190,4,No,19.6
Sehore,Ashta,Jamuniya,Agricultural,Government,856.0,2491329,6.0,3,3,7143,6,Yes,5.5
Sehore,Shyampur,Bamuliya Mal,Residential,Institutional,8305.0,16985376,7.5,2,5,9448,1,No,7.7
Sehore,Shyampur,Pachama,Industrial,Private,10453.7,33057417,6.0,3,2,8448,14,No,8.2
Sehore,Rehti,Paraswada,Agricultural,Institutional,8321.5,40863919,6.0,2,3,11056,2,No,17.2
Sehore,Budhni,Budhni,Commercial,Private,3705.0,8954458,5.0,2,4,3932,13,Yes,17.3
Sehore,Ashta,Ashta,Agricultural,Private,2411.2,14488927,6.0,3,5,1783,10,Yes,1.2
Sehore,Ichhawar,Bankheri,Residential,Government,1448.2,12470646,5.0,3,5,3868,4,Yes,14.4
Sehore,Sehore,Harpura Khurd,Mixed-use,Government,7182.6,18519602,6.0,2,3,4769,12,Yes,8.9
Sehore,Ashta,Bilkisganj,Commercial,Government,4007.9,32165054,7.5,2,5,2081,12,Yes,3.8
Sehore,Rehti,Bilpank,Commercial,Cooperative,9558.6,54851698,7.5,3,4,10545,5,Yes,8.6
Sehore,Rehti,Chandpur,Mixed-use,Private,9850.2,86141106,6.0,3,1,1109,1,Yes,9.9
Sehore,Ashta,Bamuliya Khurd,Industrial,Private,10136.6,83009808,6.0,2,5,11101,2,No,11.8
Sehore,Rehti,Banet Mal,Mixed-use,Private,8572.5,58440373,6.0,3,2,7921,6,No,6.1
Sehore,Shyampur,Karadiya,Mixed-use,Government,3483.4,8236233,7.5,3,3,7667,15,No,6.6
Sehore,Sehore,Khejra Khurd,Industrial,Cooperative,2358.1,16277666,6.0,3,0,2334,13,No,7.7
Sehore,Ichhawar,Ladkheda,Agricultural,Private,6561.0,49464943,5.0,2,4,3063,4,Yes,0.4
Sehore,Shyampur,Kothrikalan,Agricultural,Institutional,3030.5,15087585,5.0,3,4,4599,4,Yes,9.8
Sehore,Shyampur,Jhal,Industrial,Government,7351.1,46505364,6.0,2,0,5346,12,No,12.2
Sehore,Ichhawar,Chandpur,Mixed-use,Cooperative,12070.0,52272313,5.0,3,5,2648,6,No,13.7
Sehore,Sehore,Bamuliya Kalan,Residential,Government,7982.2,29763851,6.0,2,2,9312,8,Yes,0.5
Sehore,Rehti,Sonda Khurd,Commercial,Government,14173.1,92213792,6.0,3,2,9143,6,No,14.0
Sehore,Ichhawar,Harpura Khurd,Mixed-use,Government,10644.9,62539819,5.0,3,4,7746,15,Yes,6.3
Sehore,Budhni,Badiyakhedi,Commercial,Institutional,1293.1,6371781,7.5,3,0,7414,7,Yes,15.8
Sehore,Nasrullaganj,Patla,Agricultural,Private,7148.3,19919929,5.0,3,2,10218,8,Yes,15.7
Sehore,Rehti,Jamuniya,Agricultural,Government,12376.1,76320100,7.5,2,2,1042,12,Yes,10.5
Sehore,Nasrullaganj,Bagwada,Industrial,Cooperative,10533.6,82389691,6.0,3,1,2410,5,Yes,0.7
Sehore,Sehore,Bilkisganj,Agricultural,Cooperative,11654.9,104239538,6.0,3,4,2621,10,No,15.2
Sehore,Budhni,Mardikhurd,Industrial,Institutional,3030.9,17737857,6.0,2,4,2155,6,Yes,2.6
Sehore,Rehti,Gunaur,Industrial,Institutional,2195.0,16801484,6.0,2,5,7164,11,No,8.0
Sehore,Rehti,Bamuliya Kalan,Residential,Institutional,4914.3,34655305,5.0,2,5,11801,12,Yes,10.0
Sehore,Budhni,Chandbad,Commercial,Private,7879.9,67144488,5.0,2,2,5900,6,Yes,8.3
Sehore,Budhni,Dewas Naka,Industrial,Private,7908.2,48513246,6.0,2,4,1515,14,Yes,9.0
Sehore,Budhni,Jetpura,Commercial,Government,923.2,5971420,5.0,2,5,11474,4,No,0.9
Sehore,Jawar,Bilpank,Commercial,Government,7548.7,27051537,7.5,3,0,8409,13,No,9.9
Sehore,Sehore,Gunaur,Residential,Private,3065.9,3949016,5.0,3,0,5774,12,Yes,11.7
Sehore,Rehti,Pipliya,Commercial,Cooperative,3254.7,17216842,7.5,3,2,9163,6,No,3.3
Sehore,Jawar,Kachnariya Kalan,Agricultural,Institutional,3000.9,24557640,6.0,2,5,4725,8,Yes,9.0
Sehore,Sehore,Pipalia,Commercial,Private,701.6,5217860,7.5,2,1,9392,12,No,16.7
Sehore,Jawar,Pipliya Khurd,Agricultural,Institutional,6999.6,43276012,5.0,3,1,8423,1,No,0.3
Sehore,Ichhawar,Dhodal,Commercial,Cooperative,14206.2,58367221,6.0,3,3,9910,13,Yes,18.4
Sehore,Shyampur,Harpura Mal,Mixed-use,Institutional,11941.4,75663033,5.0,2,4,1807,15,Yes,17.1
Sehore,Ashta,Ashta,Agricultural,Private,4607.4,18666270,7.5,2,0,927,6,Yes,13.0
Sehore,Sehore,Bhatkhedi,Residential,Institutional,6308.9,7439179,5.0,2,2,2373,5,No,18.6
Sehore,Jawar,Bherunda,Residential,Cooperative,2684.8,5102984,7.5,2,3,9549,12,No,5.5
Sehore,Shyampur,Kothri,Commercial,Government,1052.2,6759495,5.0,2,3,7135,14,No,8.3
Sehore,Ashta,Bagmau,Residential,Private,14394.7,115316037,7.5,3,5,7900,4,No,0.6
Sehore,Nasrullaganj,Salkanpur,Commercial,Cooperative,12170.5,109129218,5.0,3,4,11567,8,Yes,14.3
Sehore,Ashta,Pathar,Agricultural,Private,9002.9,41864024,6.0,2,2,10840,15,No,14.6
Sehore,Ichhawar,Harpura Khurd,Agricultural,Cooperative,2675.5,11275182,6.0,3,2,2468,14,No,13.5
Sehore,Sehore,Rasuliya,Industrial,Private,9064.1,73221420,6.0,3,5,7694,8,Yes,17.8
Sehore,Rehti,Rampura,Commercial,Institutional,8139.9,62319927,5.0,2,1,11407,7,Yes,16.5
Sehore,Budhni,Rampura,Mixed-use,Private,7832.0,43888309,6.0,2,5,3765,11,No,9.8
Sehore,Rehti,Bhatkhedi,Mixed-use,Cooperative,7885.0,59570286,5.0,3,5,6734,12,Yes,4.6
Sehore,Shyampur,Kothrikalan,Commercial,Private,13406.3,117362017,5.0,3,1,1233,12,No,4.9
Sehore,Sehore,Dewas Naka,Commercial,Private,14277.1,36093259,5.0,2,2,2033,4,Yes,16.6
Sehore,Budhni,Kothri,Agricultural,Cooperative,14269.1,62432167,6.0,3,0,11483,10,No,6.9
Sehore,Rehti,Pipalia,Agricultural,Cooperative,9319.3,77876223,7.5,2,5,8100,1,No,6.5
Sehore,Ashta,Bamuliya,Industrial,Cooperative,11313.5,80985417,6.0,3,5,8083,1,No,0.9
Sehore,Shyampur,Kurawar,Industrial,Institutional,8192.5,13630005,7.5,2,3,6273,12,No,4.9
Sehore,Shyampur,Rehti,Agricultural,Institutional,8325.2,55215396,6.0,2,4,6777,2,Yes,13.7
Sehore,Ashta,Rampura,Industrial,Private,7570.9,35624414,7.5,3,4,10760,12,Yes,5.1
Sehore,Budhni,Sewas,Industrial,Government,13541.7,45325638,5.0,2,2,9898,6,No,2.3
Sehore,Ichhawar,Doraha,Commercial,Cooperative,7334.8,7668827,7.5,2,3,768,5,Yes,4.5
Sehore,Shyampur,Bilpank,Industrial,Private,1594.9,3371048,7.5,2,3,8178,6,No,0.5
Sehore,Rehti,Rasuliya Kalan,Mixed-use,Private,6325.9,8023107,6.0,3,0,1117,2,No,17.6
Sehore,Rehti,Gopalpur,Industrial,Government,13606.7,108911617,5.0,2,1,1465,10,Yes,13.3
Sehore,Shyampur,Bamuliya Mal,Mixed-use,Institutional,8395.9,40493744,7.5,2,4,6820,2,Yes,4.7
Sehore,Ichhawar,Dewas Naka,Commercial,Cooperative,247.0,365548,5.0,2,4,10960,5,Yes,6.1
Sehore,Ichhawar,Karadiya,Commercial,Cooperative,12034.3,30198103,6.0,3,3,3558,2,Yes,7.8
Sehore,Budhni,Patla,Commercial,Government,12928.9,19961603,7.5,2,4,2748,4,No,16.8
Sehore,Rehti,Amlaha,Agricultural,Cooperative,970.3,4322656,6.0,3,0,3205,11,No,7.9
Sehore,Jawar,Paraswada,Industrial,Cooperative,9718.9,68454502,5.0,2,4,8590,5,No,15.5
Sehore,Sehore,Kalapipal Road,Residential,Cooperative,1069.7,1795750,5.0,2,2,4594,7,No,9.3
Sehore,Rehti,Dewas Naka,Mixed-use,Institutional,13796.4,108205596,6.0,3,3,11329,10,Yes,9.4
Sehore,Budhni,Doraha Mal,Industrial,Institutional,8028.5,47616498,5.0,3,5,4444,15,No,17.5
Sehore,Jawar,Karadiya,Agricultural,Government,8524.9,32293222,6.0,2,2,8531,11,No,5.6
Sehore,Sehore,Jetpura Kalan,Commercial,Government,12049.5,78401969,5.0,3,5,8942,9,No,4.2
Sehore,Shyampur,Kherdi,Mixed-use,Government,1828.8,12402812,6.0,2,1,9849,13,No,3.7
Sehore,Shyampur,Bhatkhedi,Commercial,Cooperative,7306.4,23131507,7.5,3,4,5643,3,No,12.2
Sehore,Nasrullaganj,Bherunda,Industrial,Cooperative,128.7,323220,6.0,3,3,9071,10,No,10.3
Sehore,Sehore,Bankheri,Agricultural,Private,14725.1,88717282,6.0,2,3,7212,7,No,2.5
Sehore,Ichhawar,Bherunda,Agricultural,Private,692.2,1081382,5.0,3,1,1621,15,No,4.2
Sehore,Ashta,Ashta,Residential,Institutional,14654.4,99013562,6.0,3,1,3826,4,No,18.6
Sehore,Rehti,Chandpur,Commercial,Private,8341.4,29476358,5.0,2,3,3378,9,Yes,19.1
Sehore,Budhni,Bagmau,Mixed-use,Institutional,12158.5,24274521,5.0,3,1,4015,8,Yes,17.8
Sehore,Jawar,Mardikhurd,Residential,Private,3642.5,12632022,7.5,3,3,3546,4,Yes,17.0
Sehore,Sehore,Ralayati,Industrial,Government,11108.3,45275255,7.5,3,0,8918,13,No,4.2
Sehore,Shyampur,Jhal,Mixed-use,Institutional,4885.4,24389173,7.5,3,3,9987,4,No,3.0
Sehore,Budhni,Kalapipal Road,Industrial,Government,11838.0,31454126,6.0,3,3,4541,4,No,18.0
Sehore,Sehore,Kalapipal Road,Industrial,Private,10322.5,56840567,7.5,2,3,11732,13,Yes,7.8
Sehore,Rehti,Rasuliya,Industrial,Private,7405.1,50306013,6.0,2,3,4226,6,Yes,5.5
Sehore,Nasrullaganj,Borkhedi,Commercial,Government,3349.5,19038413,7.5,2,0,6299,6,Yes,15.2
Sehore,Budhni,Harpura,Residential,Private,3815.8,19849910,6.0,3,1,4853,3,No,5.6
Sehore,Ichhawar,Bilpank,Industrial,Institutional,2566.1,3936991,5.0,2,4,10775,13,Yes,5.8
Sehore,Shyampur,Kalapipal,Commercial,Government,336.4,2923564,7.5,2,0,1713,5,Yes,10.7
Sehore,Shyampur,Gunaur,Agricultural,Government,2358.6,19947154,5.0,2,2,2864,13,No,10.3
Sehore,Ashta,Rampura,Mixed-use,Private,5955.6,13912342,6.0,2,1,4013,14,No,11.5
Sehore,Nasrullaganj,Khejra Khurd,Commercial,Cooperative,2693.2,5060548,5.0,2,5,9978,13,Yes,1.4
Sehore,Sehore,Chandbad,Residential,Institutional,6954.7,51400132,7.5,3,4,8921,12,No,17.8
Sehore,Shyampur,Rasuliya Khurd,Mixed-use,Institutional,11812.9,66385841,7.5,3,2,8626,15,No,3.4
Sehore,Shyampur,Paraswada,Residential,Government,1175.4,10528900,6.0,2,4,6806,7,No,6.1
Sehore,Ashta,Karadiya,Industrial,Government,11274.6,30718363,7.5,2,3,9723,13,Yes,13.0
Sehore,Nasrullaganj,Pipalkheda,Commercial,Government,324.4,913696,6.0,3,3,6591,8,No,7.5
Sehore,Jawar,Khejra Khurd,Commercial,Cooperative,14397.5,42658757,5.0,2,2,6178,1,No,9.4
Sehore,Sehore,Dhaturiya Khurd,Industrial,Private,9005.7,34565633,7.5,3,0,7905,2,No,6.7
Sehore,Nasrullaganj,Rampura,Commercial,Private,14882.1,32257134,7.5,3,0,454,9,Yes,12.7
Sehore,Rehti,Ichhawar,Industrial,Cooperative,5063.9,29894269,6.0,3,2,6078,1,Yes,17.7
Sehore,Shyampur,Jhal,Mixed-use,Private,10021.5,53954934,7.5,2,1,6241,6,No,14.7
Sehore,Nasrullaganj,Patla,Commercial,Government,1470.4,5986169,6.0,2,0,771,5,Yes,19.1
Sehore,Jawar,Sonda Khurd,Mixed-use,Government,6310.4,48005592,5.0,3,4,9359,5,Yes,0.1
Sehore,Budhni,Harpura,Residential,Institutional,10930.4,79749261,5.0,3,1,11070,8,Yes,1.7
Sehore,Shyampur,Magarda,Mixed-use,Institutional,12770.9,110408867,6.0,3,5,10944,6,Yes,13.4
Sehore,Nasrullaganj,Kalapipal Road,Commercial,Government,12238.8,54719515,6.0,3,4,4974,8,No,1.1
Sehore,Nasrullaganj,Bamuliya,Residential,Government,8360.8,64845575,5.0,2,3,2560,15,Yes,14.0
Sehore,Rehti,Sonda,Industrial,Cooperative,8533.3,28950724,5.0,2,4,7933,15,Yes,15.5
Sehore,Ashta,Jhal,Industrial,Cooperative,2378.4,11381579,5.0,3,2,1987,5,Yes,9.8
Sehore,Shyampur,Pipalkheda,Mixed-use,Government,6127.3,47765983,6.0,2,4,2751,6,Yes,12.0
Sehore,Sehore,Bilkisganj,Residential,Private,1308.1,9025160,5.0,3,3,1562,15,Yes,19.8
Sehore,Ashta,Gopalpur,Commercial,Private,2071.6,18374281,6.0,3,5,9421,2,Yes,3.4
Sehore,Nasrullaganj,Dhodal,Residential,Private,14945.0,24790263,5.0,2,1,2834,15,No,16.5
Sehore,Shyampur,Kachhi Barod,Agricultural,Institutional,9262.3,48244542,7.5,3,1,1114,8,No,3.2
Sehore,Budhni,Dewas Naka,Mixed-use,Government,10360.4,13015459,6.0,2,5,7794,13,No,7.2
Sehore,Nasrullaganj,Bairagarh,Industrial,Cooperative,12119.9,34917440,6.0,3,1,3993,8,Yes,14.1
Sehore,Ashta,Bilkisganj,Residential,Private,2283.4,20518189,5.0,2,5,1253,5,No,13.8
Sehore,Jawar,Borkhedi,Industrial,Cooperative,1909.5,11751995,7.5,3,5,3486,15,No,13.2
Sehore,Rehti,Harpura,Industrial,Government,5228.7,7274677,6.0,3,1,8202,8,No,15.7
Sehore,Rehti,Mogra,Commercial,Institutional,11199.6,74578991,7.5,3,4,11516,3,Yes,17.4
Sehore,Ichhawar,Bamuliya,Industrial,Private,7344.5,65417100,5.0,2,1,3982,9,No,19.1
Sehore,Jawar,Banet,Industrial,Private,11581.2,70092940,7.5,3,4,6161,6,Yes,2.2
Sehore,Jawar,Ladkui,Commercial,Institutional,10230.9,80437307,7.5,3,4,6451,15,Yes,8.8
Sehore,Ashta,Paraswada,Mixed-use,Institutional,8118.8,57206596,5.0,3,2,343,7,Yes,9.5
Sehore,Sehore,Khejra Khurd,Mixed-use,Government,13852.5,106365276,5.0,3,2,4969,15,Yes,16.4
Sehore,Nasrullaganj,Pipalkheda,Agricultural,Private,7998.7,10593104,6.0,2,3,86,7,Yes,19.2
Sehore,Nasrullaganj,Mangrola,Mixed-use,Cooperative,323.8,2573681,7.5,3,4,10917,1,No,19.8
Sehore,Jawar,Mangrola,Mixed-use,Institutional,11712.7,91849483,6.0,3,1,8980,11,Yes,0.4
Sehore,Sehore,Bilkisganj,Agricultural,Government,14203.0,16553982,5.0,3,1,10821,5,No,8.4
Sehore,Sehore,Pipalia,Commercial,Institutional,1536.3,12987775,6.0,2,0,2598,14,Yes,17.1
Sehore,Ashta,Chandpur,Residential,Institutional,14479.9,27612678,6.0,3,0,8249,13,No,10.3
Sehore,Shyampur,Jetpura Kalan,Mixed-use,Institutional,11799.6,45429315,5.0,3,1,6405,13,Yes,11.0
Sehore,Nasrullaganj,Budhni,Mixed-use,Private,14882.5,34205001,6.0,2,4,11347,9,Yes,9.6
Sehore,Rehti,Ichhawar,Agricultural,Cooperative,11906.6,53094059,7.5,3,1,2794,4,No,15.5
Sehore,Budhni,Bilpank,Industrial,Cooperative,5858.2,35970631,5.0,2,0,7470,4,Yes,11.5
Sehore,Ashta,Jetpura Kalan,Agricultural,Institutional,6279.8,48355420,6.0,3,0,2246,14,Yes,11.9
Sehore,Budhni,Pipliya Khurd,Commercial,Cooperative,7455.6,66869913,7.5,3,0,10289,13,Yes,15.7
Sehore,Rehti,Bagwada,Agricultural,Cooperative,4458.3,35083501,5.0,3,5,2293,12,No,16.3
Sehore,Ichhawar,Mardikhurd,Agricultural,Cooperative,14721.1,129560938,6.0,2,3,5102,12,No,8.2
Sehore,Ashta,Pathar,Agricultural,Government,10700.1,85130414,7.5,2,2,1907,2,No,15.4
Sehore,Rehti,Bherunda,Commercial,Government,8766.8,14296116,5.0,3,2,9064,13,Yes,16.3
Sehore,Nasrullaganj,Gunaur,Agricultural,Private,13438.3,94315572,5.0,3,3,1573,11,No,5.5
Sehore,Ashta,Chandbad,Residential,Private,14238.8,81252773,5.0,3,0,7737,13,No,8.2
Sehore,Budhni,Jetpura,Commercial,Government,1303.6,3059599,7.5,2,5,325,8,Yes,14.6
Sehore,Ichhawar,Dhaturiya,Mixed-use,Government,14845.5,15473345,7.5,3,4,3122,8,Yes,1.3
Sehore,Jawar,Bamuliya Kalan,Industrial,Government,12389.4,41401044,5.0,3,4,6792,15,No,5.5
Sehore,Budhni,Sonda Khurd,Agricultural,Cooperative,101.7,194947,7.5,2,5,4194,12,Yes,11.6
Sehore,Budhni,Jetpura Kalan,Commercial,Government,10689.1,30430213,5.0,2,5,1232,11,No,2.7
Sehore,Jawar,Mardikhurd,Residential,Private,9805.6,66069074,7.5,2,3,1802,6,Yes,9.0
Sehore,Ichhawar,Rasuliya Khurd,Residential,Institutional,4930.7,21147845,7.5,3,3,10914,4,Yes,4.2
Sehore,Rehti,Salkanpur,Commercial,Cooperative,7374.6,23533673,5.0,3,0,7149,8,Yes,1.3
Sehore,Ashta,Paraswada,Mixed-use,Institutional,3121.3,5878444,6.0,2,2,4626,3,No,15.4
Sehore,Shyampur,Kukri,Residential,Cooperative,5269.8,32430350,6.0,2,5,4565,14,No,19.3
Sehore,Nasrullaganj,Harpura,Industrial,Government,6616.9,13683047,5.0,3,3,3636,9,Yes,2.3
Sehore,Rehti,Sewas,Agricultural,Private,4135.4,25913866,6.0,3,0,1081,10,Yes,4.9
Sehore,Nasrullaganj,Bamuliya,Commercial,Government,9442.6,83280087,5.0,2,0,5413,13,No,11.4
Sehore,Ashta,Borkhedi,Commercial,Government,1698.3,5860331,6.0,3,5,4505,10,Yes,12.6
Sehore,Rehti,Pandharinath,Industrial,Cooperative,9399.3,76341646,6.0,2,2,5897,8,Yes,10.7
Sehore,Shyampur,Bilpank,Industrial,Private,10370.8,18932303,5.0,2,3,768,4,No,8.3
Sehore,Budhni,Kachhi Barod,Mixed-use,Cooperative,10799.0,29868493,5.0,2,2,1636,1,No,0.3
Sehore,Sehore,Bherunda,Agricultural,Cooperative,13405.1,23430287,5.0,2,0,4151,13,Yes,1.0
Sehore,Nasrullaganj,Bijepur,Commercial,Private,13899.3,68334457,5.0,3,2,1689,2,Yes,18.5
Sehore,Nasrullaganj,Sehore City,Industrial,Institutional,14025.1,98549036,7.5,2,0,1647,11,Yes,13.4
Sehore,Jawar,Bhopal Pura,Commercial,Government,11083.1,76024766,5.0,2,1,2222,5,No,1.3
Sehore,Shyampur,Amlaha,Mixed-use,Government,549.8,3741912,7.5,2,2,10324,13,No,16.7
Sehore,Sehore,Kothrikalan,Residential,Government,7148.1,7584008,6.0,2,4,2918,11,No,2.3
Sehore,Ichhawar,Ladkui,Residential,Government,6272.6,28082102,7.5,2,2,11743,9,No,17.7
Sehore,Ichhawar,Kalapipal Road,Mixed-use,Government,14308.0,62942187,7.5,3,2,5222,5,Yes,18.5
Sehore,Ashta,Bankheri,Industrial,Institutional,5682.8,30025539,5.0,2,5,2127,15,Yes,4.7
Sehore,Budhni,Harpura Mal,Industrial,Cooperative,13647.2,77042520,7.5,2,0,8536,3,Yes,16.0
Sehore,Jawar,Jawar,Mixed-use,Private,3683.1,19955840,6.0,2,2,4328,6,Yes,16.6
Sehore,Ashta,Kalapipal,Industrial,Government,2164.5,15844627,7.5,2,4,2471,10,No,1.5
Sehore,Budhni,Harpura Khurd,Industrial,Government,10245.6,91616310,6.0,2,0,238,13,Yes,15.5
Sehore,Ashta,Ichhawar,Residential,Institutional,2540.7,17626321,7.5,2,0,11321,4,No,19.1
Sehore,Budhni,Ralayati,Mixed-use,Institutional,934.1,5648286,7.5,2,5,2503,6,No,7.6
Sehore,Budhni,Rampura,Agricultural,Institutional,3971.2,6672901,5.0,3,2,8096,9,Yes,3.1
Sehore,Nasrullaganj,Rampura,Mixed-use,Private,4766.6,22646093,7.5,3,3,480,1,Yes,0.2
Sehore,Nasrullaganj,Bagwada,Industrial,Institutional,9579.1,16375552,7.5,3,4,2506,7,No,11.3
Sehore,Jawar,Sonda,Commercial,Institutional,7714.3,68852753,6.0,2,2,5131,14,Yes,15.7
Sehore,Sehore,Shyampur,Mixed-use,Private,9405.3,13395910,5.0,2,3,9914,14,No,12.4
Sehore,Ashta,Bamuliya Khurd,Mixed-use,Government,1956.4,2906612,5.0,2,3,4192,14,Yes,17.8
Sehore,Ashta,Jetpura,Agricultural,Government,8248.4,39502694,5.0,2,3,11816,13,Yes,10.6
Sehore,Budhni,Ladkheda,Agricultural,Government,2390.5,3643706,7.5,3,4,11156,5,Yes,10.5
Sehore,Nasrullaganj,Sonda,Agricultural,Government,389.0,3125836,7.5,2,2,11883,12,No,4.4
Sehore,Nasrullaganj,Bamuliya,Residential,Cooperative,13111.8,99338869,6.0,3,1,5861,13,No,15.2
Sehore,Ashta,Banet,Industrial,Government,10839.2,42840647,7.5,2,2,3190,14,Yes,13.4
Sehore,Shyampur,Pachama,Agricultural,Cooperative,11898.0,94049805,7.5,2,1,1835,6,Yes,11.2
Sehore,Ichhawar,Mardikhurd,Agricultural,Government,7028.0,53792501,5.0,3,0,4796,11,Yes,19.9
Sehore,Nasrullaganj,Chandpur,Commercial,Government,3197.3,22765964,6.0,2,4,4272,10,No,17.7
Sehore,Budhni,Pipalkheda,Commercial,Government,12104.7,20825664,7.5,3,4,7692,12,Yes,10.9
